locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
6050,Southport,South East Queensland,AU,2021-07-08T15:00:00+00:00,2021-07-09T01:00:00+10:00,pm10,23.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T15:00:00+00:00,2021-07-09T01:00:00+10:00,pm25,5.9,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T14:00:00+00:00,2021-07-09T00:00:00+10:00,o3,0.009,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T14:00:00+00:00,2021-07-09T00:00:00+10:00,pm10,23.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T14:00:00+00:00,2021-07-09T00:00:00+10:00,pm25,6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T12:00:00+00:00,2021-07-08T22:00:00+10:00,o3,0.003,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T12:00:00+00:00,2021-07-08T22:00:00+10:00,pm10,24,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T12:00:00+00:00,2021-07-08T22:00:00+10:00,pm25,6.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T11:00:00+00:00,2021-07-08T21:00:00+10:00,pm25,6.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T11:00:00+00:00,2021-07-08T21:00:00+10:00,o3,0.006,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T11:00:00+00:00,2021-07-08T21:00:00+10:00,pm10,24.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T10:00:00+00:00,2021-07-08T20:00:00+10:00,pm25,6.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T10:00:00+00:00,2021-07-08T20:00:00+10:00,pm10,24.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T10:00:00+00:00,2021-07-08T20:00:00+10:00,o3,0.006,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T08:00:00+00:00,2021-07-08T18:00:00+10:00,o3,0.01,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T08:00:00+00:00,2021-07-08T18:00:00+10:00,pm25,6.9,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T08:00:00+00:00,2021-07-08T18:00:00+10:00,pm10,26,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T07:00:00+00:00,2021-07-08T17:00:00+10:00,pm25,7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T07:00:00+00:00,2021-07-08T17:00:00+10:00,o3,0.019,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T07:00:00+00:00,2021-07-08T17:00:00+10:00,pm10,26.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T06:00:00+00:00,2021-07-08T16:00:00+10:00,pm25,7.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T06:00:00+00:00,2021-07-08T16:00:00+10:00,pm10,27,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T06:00:00+00:00,2021-07-08T16:00:00+10:00,o3,0.026,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T05:00:00+00:00,2021-07-08T15:00:00+10:00,o3,0.029,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T05:00:00+00:00,2021-07-08T15:00:00+10:00,pm25,7.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T05:00:00+00:00,2021-07-08T15:00:00+10:00,pm10,27.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T04:00:00+00:00,2021-07-08T14:00:00+10:00,o3,0.028,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T04:00:00+00:00,2021-07-08T14:00:00+10:00,pm25,7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T04:00:00+00:00,2021-07-08T14:00:00+10:00,pm10,27.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T03:00:00+00:00,2021-07-07T13:00:00+10:00,pm10,14,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-07T03:00:00+00:00,2021-07-07T13:00:00+10:00,o3,0.029,ppm,-27.9612,153.402
